A1BG	4	4	4	4	4	4	4	4	3	4	4	5	0	0	0	3	4	3	3	3	5	4	5	4	3	4	4	0	0	0	5	3	4	0	0	0	3	4	4	5	3	4	4	3	4	3	4	4	3	4	4	4	4	3	0	0	0	3	3	5	0	0	0	4	4	3	3	4	5	0	0	0	3	5	4	4	4	5	3	4	3	0	0	0	4	4	4	4	4	5	4	4	4	4	4	4	3	5	5	3	4	4	4	4	3	4	4	4
A2M	4	4	4	4	5	4	4	4	3	4	4	5	4	3	4	2	3	4	3	3	4	4	2	4	4	4	4	2	2	4	5	4	4	4	4	3	3	4	4	4	4	4	4	3	4	3	4	3	3	4	4	4	3	3	3	4	2	3	3	5	3	4	3	5	4	2	2	4	3	4	4	3	3	4	4	3	4	4	4	4	4	4	3	4	3	3	4	4	5	4	3	3	4	2	4	5	3	4	5	2	4	4	3	4	3	2	4	2
A2ML1	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	4	4	3	4	4	5	0	0	0	4	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	4	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	5	4	4	4	4	4	3	4	3	4	4	5	5	4	4	3	4	4	2	4	3	3	5	4	2	4	3	4	4	3	5	4	4	4	4	4	3	4	4	4	4	4	4	4	3	3	3	3	4	4	4	3	5	4	3	3	3	3	2	4	3	4	3	5	3	3	4	4	4	4	5	4	3	5	3	3	4	4	3	4	3	5	3	4	4	4	3	4	3	5	4	4	3	4	4	4	3	4	4	4	4	4	4	4	3	4	3	3
AACS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	5	0	0	0	0	0	0	3	4	4	0	0	0	3	4	5	4	3	3	0	0	0	0	0	0	0	0	0	4	2	2	4	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	3	4	5	0	0	0	0	0	0
AADAT	3	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	5	0	0	0	0	0	0
AAGAB	4	4	4	3	5	4	4	4	3	4	4	5	4	3	4	3	4	2	2	5	3	4	5	5	2	4	3	4	4	3	4	5	4	4	3	4	3	4	4	5	3	4	5	3	4	2	4	4	0	0	0	4	4	4	4	3	4	2	3	4	2	4	3	4	3	3	3	4	6	4	5	3	4	5	3	4	3	4	4	3	2	4	4	4	4	3	4	4	4	5	4	5	3	5	4	4	4	4	5	5	4	4	5	3	3	4	3	3
AAK1	4	3	4	4	4	4	4	4	4	4	4	5	5	4	4	3	4	4	2	4	3	4	5	4	3	4	3	3	4	3	4	5	4	4	4	4	3	4	4	4	4	5	4	3	4	3	4	3	4	4	3	4	4	3	3	4	3	3	3	4	3	4	3	4	3	3	3	4	4	4	4	3	4	4	4	3	3	4	4	4	3	5	3	4	3	4	4	4	4	4	4	4	3	4	4	4	4	4	4	3	4	4	4	4	3	4	4	3
AAMDC	3	3	4	4	4	4	3	3	3	4	4	5	5	4	4	3	4	5	2	3	2	3	3	3	3	5	4	3	3	3	4	3	4	4	3	3	4	3	4	5	3	4	3	3	4	3	5	3	4	4	2	3	3	3	3	4	2	3	3	3	3	4	4	5	3	2	3	4	5	4	3	4	4	4	4	2	3	3	5	4	3	4	2	4	3	4	3	4	3	5	3	4	3	4	4	4	4	4	3	4	4	4	3	3	3	1	3	2
AAMP	2	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	4	3	4	5	3	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	3	0	0	0	0	0	0	3	3	3	0	0	0	0	0	0	0	0	0	5	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARS	3	3	4	4	4	4	3	4	3	4	4	5	3	4	4	1	2	3	2	3	3	4	2	4	2	4	3	3	3	3	4	4	4	5	4	3	3	3	5	3	4	5	4	4	4	3	4	2	4	4	3	4	3	3	3	4	3	3	4	4	3	5	3	4	4	2	4	4	2	4	3	3	3	3	4	3	3	3	3	4	2	5	4	3	3	4	3	4	4	5	3	4	3	3	4	4	4	3	3	2	5	4	3	4	3	2	4	2
AARS2	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	5	0	0	0	0	0	0	0	0	0
AARSD1	4	4	4	3	4	4	4	4	3	4	4	4	0	0	0	3	4	3	2	3	3	3	5	4	3	4	3	4	4	3	0	0	0	5	4	4	3	4	5	4	4	4	4	3	4	3	4	3	4	4	4	4	4	3	3	3	3	3	3	4	3	4	4	0	0	0	0	0	0	3	5	4	3	5	4	3	3	4	3	3	2	4	3	4	3	3	5	4	4	4	4	4	4	5	4	4	4	4	5	4	4	5	0	0	0	4	4	3
AASDH	0	0	0	4	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	4	0	0	0	0	0	0	0	0	0	0	0	0	4	4	3	4	4	3	0	0	0	3	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	3	4	4	4	0	0	0	3	4	4	0	0	0	0	0	0
AASDHPPT	3	3	4	0	0	0	3	4	3	0	0	0	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	5	0	0	0	4	4	4	3	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	5	0	0	0	0	0	0	0	0	0	0	0	0	2	4	2	5	4	5	0	0	0	2	4	5	0	0	0	0	0	0	0	0	0	1	3	2
AASS	0	0	0	0	0	0	0	0	0	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AATF	4	4	4	4	4	3	4	4	3	4	4	4	4	4	4	3	4	4	2	4	3	3	5	3	2	3	3	3	4	3	5	5	4	4	5	4	3	4	5	4	4	4	4	3	4	2	4	3	4	4	4	4	4	4	3	4	3	3	3	3	3	4	4	4	3	3	4	5	4	4	5	4	4	4	4	3	4	3	3	4	2	4	4	4	3	3	4	4	4	5	4	4	3	5	5	4	4	4	5	4	4	4	4	3	3	4	4	3
ABAT	3	3	4	3	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	5	0	0	0	0	0	0	4	5	5	0	0	0	3	4	3	0	0	0	2	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	2	4	3	5	0	0	0	4	3	4	3	4	2	0	0	0	3	4	3	4	4	4	0	0	0	0	0	0	4	5	5	0	0	0	0	0	0	0	0	0
ABCA1	0	0	0	4	5	4	4	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	0	0	0	0	0	0	4	3	4	0	0	0	0	0	0	4	4	4	4	4	3	3	4	4	3	4	3	5	3	2	4	4	3	4	4	2	4	4	4	3	3	3	0	0	0	5	3	4	0	0	0	3	4	4	0	0	0	4	5	4	4	4	3	3	5	4	4	3	3	0	0	0
ABCA13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	3	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
