#MUTATION	MAPK_SIGNALING_PATHWAY	ERBB_SIGNALING_PATHWAY	REGULATION_OF_ACTIN_CYTOSKELETON	PATHWAYS_IN_CANCER	FOCAL_ADHESION	T_CELL_RECEPTOR_SIGNALING_PATHWAY	NEUROTROPHIN_SIGNALING_PATHWAY	CHEMOKINE_SIGNALING_PATHWAY	GNRH_SIGNALING_PATHWAY	OOCYTE_MEIOSIS	RENAL_CELL_CARCINOMA	FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	ENDOMETRIAL_CANCER	AXON_GUIDANCE	INSULIN_SIGNALING_PATHWAY	NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	FC_EPSILON_RI_SIGNALING_PATHWAY	LONG_TERM_POTENTIATION	B_CELL_RECEPTOR_SIGNALING_PATHWAY	TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	ADHERENS_JUNCTION	GLIOMA	CELL_CYCLE	PROSTATE_CANCER	PROGESTERONE_MEDIATED_OOCYTE_MATURATION	WNT_SIGNALING_PATHWAY	BLADDER_CANCER	VEGF_SIGNALING_PATHWAY	CHRONIC_MYELOID_LEUKEMIA	CALCIUM_SIGNALING_PATHWAY	MELANOMA	NON_SMALL_CELL_LUNG_CANCER	TIGHT_JUNCTION	VASCULAR_SMOOTH_MUSCLE_CONTRACTION	JAK_STAT_SIGNALING_PATHWAY	PANCREATIC_CANCER	ENDOCYTOSIS	APOPTOSIS	COLORECTAL_CANCER	PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	ACUTE_MYELOID_LEUKEMIA	GAP_JUNCTION	INOSITOL_PHOSPHATE_METABOLISM	MELANOGENESIS	PATHOGENIC_ESCHERICHIA_COLI_INFECTION	MTOR_SIGNALING_PATHWAY	SMALL_CELL_LUNG_CANCER	THYROID_CANCER	AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	ADIPOCYTOKINE_SIGNALING_PATHWAY	ALZHEIMERS_DISEASE	EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	SPLICEOSOME	RIBOSOME	LONG_TERM_DEPRESSION	LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	LEISHMANIA_INFECTION	P53_SIGNALING_PATHWAY	UBIQUITIN_MEDIATED_PROTEOLYSIS	PURINE_METABOLISM	CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	PYRIMIDINE_METABOLISM	FRUCTOSE_AND_MANNOSE_METABOLISM	PRION_DISEASES	TGF_BETA_SIGNALING_PATHWAY	PRIMARY_IMMUNODEFICIENCY	GLYCOLYSIS_GLUCONEOGENESIS	CYTOSOLIC_DNA_SENSING_PATHWAY	OLFACTORY_TRANSDUCTION	RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	HEMATOPOIETIC_CELL_LINEAGE	NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	RIBOFLAVIN_METABOLISM	REGULATION_OF_AUTOPHAGY	CELL_ADHESION_MOLECULES_CAMS	PARKINSONS_DISEASE	DORSO_VENTRAL_AXIS_FORMATION	HUNTINGTONS_DISEASE	NICOTINATE_AND_NICOTINAMIDE_METABOLISM
0.190236	0.224868	-0.798119	-0.113421	-0.052390	-1.058517	-2.007271	0.352006	-0.244514	0.372953	0.042176	0.010562	-0.007350	-0.003203	-1.278454	0.035386	0.008422	-0.019326	-0.000993	0.002090	-0.667390	-0.638148	0.002436	-0.861684	-0.103097	-0.007848	-1.545816	0.004855	-0.058123	0.016310	-0.349661	0.000683	0.003010	0.008833	0.007482	-1.162037	0.001530	-0.089793	-0.000871	-0.002181	-0.036395	0.060410	0.145252	-0.680424	-0.901417	-0.339187	0.011999	-0.505585	0.030573	-0.060035	-0.042174	-0.003549	-0.082557	-0.052385	-0.852174	0.097339	-0.221224	-0.200569	-0.000683	0.583164	-0.006168	-0.000090	0.000189	-0.154950	-0.002380	-0.188462	-0.252109	-0.202791	-0.056614	-0.006652	0.460673	-0.226763	0.000167	-0.005933	-0.002386	-0.459465	0.000003	0.001275	-0.000008	0.009579
0.541004	0.022143	0.091529	0.433906	0.009840	0.313349	0.001811	-0.152735	0.253830	-0.007201	0.048058	0.021408	0.003366	0.184194	0.575121	0.007897	0.017742	-0.842259	0.096755	-0.261622	0.008061	0.549811	0.251049	0.351747	-0.001780	0.503323	0.877930	0.320132	0.008325	0.010108	0.231089	0.297887	0.444032	-0.009613	0.608835	0.018455	0.531071	0.344810	0.045778	-0.000652	-0.157983	0.003227	-0.000357	-0.029621	0.012796	0.956165	0.003871	0.000240	0.008584	-0.000955	0.141921	-0.000200	0.143455	0.000000	-0.000010	0.070617	0.982439	-0.002936	0.000025	-0.006967	-0.006648	0.537446	-0.002347	1.052614	-0.002956	1.067658	0.560016	-0.000447	1.067739	0.355098	0.307702	0.000007	0.000003	0.740233	0.000230	0.190562	0.001875	0.697809	-0.000045	0.001761
0.589557	-0.001182	0.401376	0.500046	0.397561	0.422967	0.466952	-0.004306	-0.036698	-0.284210	-1.670156	0.030763	0.243185	0.744222	0.535820	-0.027089	-0.022017	0.001907	-1.727403	0.023808	0.664919	1.067162	-0.776402	-0.681568	0.917461	-0.686631	0.000437	0.673286	-0.066981	-0.340411	0.691028	-0.032804	0.891684	-0.176813	-0.468473	0.000715	0.978048	0.007574	0.002588	-0.578536	0.144006	-0.044435	0.043486	0.009965	-0.605357	-0.000042	0.033367	-0.002889	0.006016	0.018755	-0.011004	-0.000555	0.007618	-0.000013	-0.300311	-0.002025	-0.001502	0.184782	0.004466	-0.538471	-0.000835	0.000099	0.005411	0.093780	-0.003026	0.000526	0.005449	-0.000046	0.695471	0.000393	0.408160	-0.000002	1.146973	0.001923	0.003202	-0.000621	0.021705	-0.000373	-0.042191	0.003560
0.455741	0.738554	0.792325	0.371675	-1.510906	0.888224	0.713393	0.261117	0.375061	0.305051	0.036873	0.776412	0.116991	-1.202152	0.838811	-0.019147	0.106673	0.000242	0.097755	-0.080137	0.185513	0.601408	0.021597	0.718213	-1.120125	-0.020708	0.204474	-0.659099	0.635855	-0.008295	-0.009072	0.006717	-0.334795	1.022183	0.009922	-0.000591	-0.162079	0.509502	0.251041	-0.009289	-0.004018	-0.021130	0.038079	0.009117	0.121401	-0.005022	0.003334	-0.001304	-0.004192	-0.003028	0.013147	-0.008067	0.944162	-0.000005	0.000005	0.004077	-0.002020	0.006357	-0.003348	-0.000780	0.911804	-0.000235	1.027146	-0.034563	-0.001815	-0.002909	-0.005498	0.000006	0.001853	0.394625	0.627333	0.000008	0.885556	-0.001982	0.210364	0.000299	-0.000005	-0.002792	0.000006	1.230241
0.433481	-0.083480	0.910459	0.478987	0.944028	0.766397	0.691951	0.744585	0.722067	0.232995	0.050743	0.454177	0.010070	1.316374	0.715253	1.224898	0.901737	0.003309	1.234037	0.989977	-0.007491	-0.020495	0.464426	1.073301	1.396814	0.391337	0.867156	0.854070	0.216123	0.592890	0.120028	0.485704	0.609999	-0.000498	0.907826	-0.000529	0.790598	-0.000784	0.024840	1.479599	0.256531	0.792544	0.194841	0.550855	1.444867	-0.033812	0.816456	-0.002068	0.130378	0.000848	0.008461	1.380795	0.080878	-0.000006	-0.000007	1.148868	-0.088537	0.002283	0.004503	-0.002748	-0.003197	-0.000138	-0.000431	0.173610	0.002853	-0.021050	-0.009420	-0.000093	-0.000741	-0.002279	0.009602	-0.000011	0.000009	0.000510	0.241657	-0.000713	0.048214	-0.002730	0.000004	0.000387
0.236324	-0.011331	-0.157725	0.443227	-0.000376	0.404391	0.028547	0.393002	0.616003	-0.034971	1.939714	0.270275	0.013851	-0.013434	0.304023	1.070200	0.262811	0.001702	0.282499	-0.004028	0.014463	0.021792	0.001798	1.580960	0.004619	1.692183	0.113854	0.000720	-0.079357	0.091847	0.009639	-0.005772	0.000171	0.003786	0.894211	0.082114	-0.000591	0.002077	-0.001436	-0.002136	0.784383	0.012920	1.090994	0.477858	-0.001983	0.007998	0.030722	0.003537	0.001668	0.248774	1.517253	0.000708	0.006119	0.000014	-0.000007	-0.000157	0.601226	0.003877	1.045936	0.000225	0.420009	-0.000072	0.271836	1.017496	0.005096	0.001562	-0.003453	2.416123	0.770962	-0.000917	0.715609	0.000003	0.015285	0.304708	0.000750	0.000428	-0.000003	0.001206	-0.000021	0.344107
0.806679	1.518319	1.748887	1.298374	1.555942	1.071585	1.356255	0.837061	0.563085	1.250938	1.040514	1.713797	0.971560	1.661045	0.434897	1.410735	1.777917	0.905914	1.547664	1.510172	0.782841	0.706896	1.595964	0.010388	1.793769	0.884069	-0.002987	1.972043	1.571040	1.289523	1.541339	1.622198	1.947709	0.672552	1.123677	-0.000239	1.449905	1.387322	0.243693	1.023367	1.834552	1.469397	1.641306	1.941458	1.283503	-0.248115	1.526235	-0.000049	1.713662	0.095666	-0.024577	0.151013	1.267513	0.000004	0.000004	1.559674	-0.143787	0.156167	-0.002054	0.001273	-0.007258	0.142322	0.000079	0.325875	1.333791	-0.061879	-0.008706	0.000015	-0.000526	0.000643	-0.026057	-0.000004	-0.000006	-0.001487	1.079413	-0.000264	0.139893	1.506713	-0.024189	0.000085
0.405524	1.089740	0.307256	-0.035238	-0.363273	-0.119557	-0.009356	-0.002574	0.306827	1.283891	0.030803	-0.017126	0.764638	-0.031002	0.007732	0.204348	0.058732	1.734012	-0.024596	0.720347	1.531617	0.000047	-0.047419	-0.631993	0.007496	-0.029052	0.000575	-0.003744	0.031871	-0.005776	-0.000780	-0.007522	0.004289	0.004976	-0.015026	-0.000187	-0.000807	-0.012334	0.019854	0.002046	1.069889	0.005142	0.009858	0.990800	0.005036	-0.007230	-0.012430	-0.000367	-0.004282	1.472833	-0.019652	-0.000763	0.839831	-0.000018	-0.000008	-0.004719	0.000933	-0.000342	0.000150	-0.003870	-0.000928	-0.000025	-0.000652	0.019493	0.005068	0.001100	0.332846	0.000027	0.016655	-0.000860	-0.002562	-0.000300	0.014793	0.001832	-0.002649	-0.000812	0.000008	-0.002158	0.000002	-0.007556
-0.250983	0.494540	0.040157	0.634510	-0.307593	0.175219	0.219288	0.613231	0.734577	0.747020	0.009477	-0.003377	0.135166	-0.203276	0.521237	-0.032235	-0.018182	0.910926	0.001681	-0.018557	0.838860	-0.126574	0.005874	0.434456	-0.073944	0.626990	0.829724	-0.003101	0.021508	0.429776	-1.188445	-0.022918	-0.002003	-0.303822	0.952092	0.000270	-0.004110	-0.998049	0.001509	0.333411	-1.628974	0.523669	0.009599	-1.755161	0.363487	0.982399	-1.141081	-0.002067	-0.017471	-0.001413	0.035192	-0.015743	-0.844550	-0.000010	0.000006	0.739759	1.013246	-0.001920	-0.005967	-0.138763	0.008648	0.000015	0.000481	0.103207	0.425571	1.013002	-0.008895	-0.000014	-0.000396	-0.001166	-0.047651	0.000007	0.108206	0.188794	-0.414641	-0.000185	0.000006	-0.005459	0.000013	0.002530
0.704446	0.609584	0.009081	0.290530	-0.035809	0.033852	-0.010777	0.352320	-0.018777	0.729935	0.707491	-0.024045	-0.001750	-0.009512	0.410126	0.295349	0.001182	0.000050	0.327591	0.255780	0.158229	0.700466	-0.001687	1.220385	0.000045	0.730587	0.281385	0.000523	0.317598	0.001710	0.336877	-0.036095	0.003627	-0.004051	0.531464	0.000392	0.000958	-0.005916	0.497355	-0.005233	-0.002679	-0.022987	0.585707	0.013055	0.006346	0.007919	0.028534	-0.000281	0.003808	0.396541	-0.009934	-0.000635	0.034554	-0.000012	-0.000002	-0.005681	0.025603	0.223237	1.407327	-0.000851	-0.006916	-0.000054	-0.000379	0.510431	0.000302	0.285331	-0.007997	0.000015	-0.000379	-0.001444	0.523847	0.000008	-0.000020	0.191126	0.533227	0.000581	0.000013	-0.002668	0.000003	0.002466
